id,category,annotation,ally_type
1341336354332966914,tone_policing,A,G
1341457792016805897,tone_policing,A,G
1341475510199697409,tone_policing,A,G
1341203639692455938,tone_policing,A,G
1341255399505342464,tone_policing,A,E
1341281823326801922,tone_policing,A,E
1341460070278815749,tone_policing,A,G
1341436134749057034,tone_policing,A,G
1341385223251107841,tone_policing,A,G
1341219418760761344,tone_policing,A,G
1341169376582639623,tone_policing,A,G
1341412694520414208,tone_policing,A,G
1341368653078474753,tone_policing,A,G
1341364886207655938,tone_policing,A,T
1341299190836686848,tone_policing,A,G
1341210862187507712,tone_policing,A,G
1341164385230675968,tone_policing,A,G
1341479168064811010,tone_policing,A,G
1341472905771819010,tone_policing,A,G
1341446382817832968,tone_policing,A,G
1341350861927297027,tone_policing,A,G
1341214244222582784,tone_policing,A,G
1341208789337436162,tone_policing,A,E
1341175234682974208,tone_policing,A,T
1341365905381609473,white_centring,A,G
1341223963045838854,white_centring,A,G
1341393567214919684,white_centring,A,G
1341475612888879107,white_centring,A,G
1341439188869279748,white_centring,A,G
1341427297035800578,white_centring,A,G
1341406021932232709,white_centring,A,T
1341376835272257536,white_centring,A,E
1341371240972505089,white_centring,A,T
1341369598353043457,white_centring,A,G
1341359820130140160,white_centring,A,E
1341216308579352576,white_centring,A,E
1341209291076694016,white_centring,A,G
1341183944629346304,white_centring,A,G
1341173374916112387,white_centring,A,G
1341169297515663360,white_centring,A,G
1341420016344977414,white_centring,A,G
1341387837791494147,white_centring,A,G
1341478792620085248,racial_gaslighting,A,G
1341477380267892739,racial_gaslighting,A,G
1341476712916369417,racial_gaslighting,A,E
1341475382529286144,racial_gaslighting,A,G
1341471690954518533,racial_gaslighting,A,G
1341462249035198467,racial_gaslighting,A,G
1341459253152927744,racial_gaslighting,A,G
1341454421759299585,racial_gaslighting,A,G
1341440012949233665,racial_gaslighting,A,G
1341436386130333696,racial_gaslighting,A,E
1341430349662990336,racial_gaslighting,A,E
1341427471938445313,racial_gaslighting,A,G
1341417965225467905,racial_gaslighting,A,G
1341406885451341828,racial_gaslighting,A,G
1341406320486998016,racial_gaslighting,A,G
1341404820901642243,racial_gaslighting,A,G
1341397603414650882,racial_gaslighting,A,G
1341394555258560512,racial_gaslighting,A,G
1341394492067377159,racial_gaslighting,A,G
1341393282509795329,racial_gaslighting,A,G
1341391615609499648,racial_gaslighting,A,G
1341389391919521794,racial_gaslighting,A,G
1341387784435752960,racial_gaslighting,A,G
1341386617832026114,racial_gaslighting,A,G
1341386506515132416,racial_gaslighting,A,G
1341383905212047362,racial_gaslighting,A,E
1341383072089038848,racial_gaslighting,A,E
1341380985485742080,racial_gaslighting,A,G
1341380870821711872,racial_gaslighting,A,G
1341380696598835200,racial_gaslighting,A,G
1341378795236941829,racial_gaslighting,A,G
1341375027883765760,racial_gaslighting,A,G
1341370490968023043,racial_gaslighting,A,G
1341369242386653187,racial_gaslighting,A,G
1341367509744713730,racial_gaslighting,A,G
1341367291607470080,racial_gaslighting,A,G
1341364586721628161,racial_gaslighting,A,G
1341350576953552896,racial_gaslighting,A,G
1341349639577100296,racial_gaslighting,A,E
1341332055842574339,racial_gaslighting,A,G
1341321645240295427,racial_gaslighting,A,G
1341320735218933762,racial_gaslighting,A,G
1341319540110745601,racial_gaslighting,A,G
1341319138325786624,racial_gaslighting,A,G
1341308829015961600,racial_gaslighting,A,G
1341298813990887424,racial_gaslighting,A,G
1341283317996515329,racial_gaslighting,A,E
1341277660874326017,racial_gaslighting,A,G
1341277188641927168,racial_gaslighting,A,G
1341275896670539778,racial_gaslighting,A,G
1341274651792650240,racial_gaslighting,A,G
1341273013170388992,racial_gaslighting,A,G
1341270295349522432,racial_gaslighting,A,G
1341270191636922368,racial_gaslighting,A,G
1341267392001945600,racial_gaslighting,A,G
1341264334119301120,racial_gaslighting,A,G
1341261714373791745,racial_gaslighting,A,G
1341258939510517762,racial_gaslighting,A,G
1341249475894013952,racial_gaslighting,A,G
1341240721525903365,racial_gaslighting,A,G
1341235750118055942,racial_gaslighting,A,G
1341234199064416256,racial_gaslighting,A,G
1341230561428430848,racial_gaslighting,A,T
1341228836961325056,racial_gaslighting,A,E
1341228195039899648,racial_gaslighting,A,G
1341225074330906625,racial_gaslighting,A,T
1341219737263505408,racial_gaslighting,A,G
1341207951449722880,racial_gaslighting,A,G
1341204890496937984,racial_gaslighting,A,G
1341201426094145538,racial_gaslighting,A,G
1341201369219407873,racial_gaslighting,A,T
1341180838898245633,racial_gaslighting,A,G
