id,category,annotation,ally_type
1341836755041984513,tone_policing,M,
1337684333998579715,tone_policing,M,
1342380859727364096,generic,M,
1348642531697971200,white_centring,M,
1342496551575441409,generic,M,
1334609495692021760,white_centring,M,
1334672900234891264,defensiveness,M,
1336847068279664643,generic,M,
1334809491024601088,racial_gaslighting,M,
1338671447313551362,generic,M,
1341321084440895488,racial_gaslighting,M,
1341378214904606722,racial_gaslighting,M,
1337741382656679936,generic,M,
1334734843675074568,generic,M,
1341281785100062720,racial_gaslighting,M,
1335394964725907457,generic,M,
1334945811679956992,tone_policing,M,
1341355577725734912,white_centring,M,
1334643984233345028,tone_policing,M,
1336553811402375168,generic,M,
1341363842958417925,racial_gaslighting,M,
1341431084534423558,racial_gaslighting,M,
1334485248780931073,generic,M,
1341220244963033088,generic,M,
1341215443181252609,white_centring,M,
1344075429821313024,generic,M,
1341264062261329920,racial_gaslighting,M,
1337519351205806080,generic,M,
1334941741762408451,generic,M,
1346448974702637058,tone_policing,M,
1342107648418861061,tone_policing,M,
1279076838321475584,racial_gaslighting,M,
1341427066621874177,racial_gaslighting,M,
1336485483044511747,generic,M,
1337522478843719682,generic,M,
1344491204122083335,generic,M,
1341363709088837640,white_centring,M,
1335563981575102465,racial_gaslighting,M,
1342505143808512002,generic,M,
1344458998175686656,generic,M,
1334859839902724098,generic,M,
1334576954419290117,tone_policing,M,
1341320079015866368,racial_gaslighting,M,
1334495999654588417,defensiveness,M,
1344487543304142854,generic,M,
1335311565059395588,racial_gaslighting,M,
1274491175563476992,generic,M,
1336016928570105856,generic,M,
1342061194350387200,tone_policing,M,
1341473340310106125,racial_gaslighting,M,
1334824870224465920,tone_policing,M,
1342523918184116224,generic,M,
1346521459116576768,tone_policing,M,
1334849773908729858,white_centring,M,
1341410879997419520,white_centring,M,
1335760793309118466,generic,M,
1341407495546413056,racial_gaslighting,M,
1337525111604170752,generic,M,
1334850115618672640,white_centring,M,
1335692302975524865,generic,M,
1344494386311172097,generic,M,
1336015720400838656,generic,M,
1272802064049946624,racial_gaslighting,M,
1336749442217746434,white_centring,M,
1334791313942863874,racial_gaslighting,M,
1337256223020728321,generic,M,
1346249344589021185,generic,M,
1341402163180953600,racial_gaslighting,M,
1336650512238833670,generic,M,
1337525805988028417,generic,M,
1334930584808853506,racial_gaslighting,M,
1334937065268506624,white_centring,M,
1341444035257491457,racial_gaslighting,M,
1341240969862152193,racial_gaslighting,M,
1337567665414688768,tone_policing,M,
1341367701881708545,racial_gaslighting,M,
1346223336624275456,generic,M,
1334734385384394753,generic,M,
1344923552697339904,generic,M,
1341393812145487882,tone_policing,M,
1334626950170767364,defensiveness,M,
1341397642346115076,racial_gaslighting,M,
1341388395512262663,racial_gaslighting,M,
1344486819161808897,generic,M,
1341229727441367040,racial_gaslighting,M,
1346515793236946944,tone_policing,M,
1334743322670342147,defensiveness,M,
1341443109285212168,racial_gaslighting,M,
1334703135185461248,racial_gaslighting,M,
1334787394353172480,defensiveness,M,
1334939994775961601,defensiveness,M,
1334949041105334272,racial_gaslighting,M,
1341422140457938945,tone_policing,M,
1341398104692699146,racial_gaslighting,M,
1341436500433661956,racial_gaslighting,M,
1341386760014733315,racial_gaslighting,M,
1337626250421088256,tone_policing,M,
1346251602802315264,generic,M,
1346345842400137217,generic,M,
1334861866888269824,white_centring,M,
1341478696364982273,racial_gaslighting,M,
1351736764084457473,tone_policing,M,
1334906881815396353,generic,M,
1334655794927833093,defensiveness,M,
1341393202058817538,racial_gaslighting,M,
1349425801234702342,generic,M,
1337461601507581953,generic,M,
1341430976908550147,racial_gaslighting,M,
1334595502382452736,racial_gaslighting,M,
1346109385270042625,tone_policing,M,
1334799711287476227,tone_policing,M,
1337465815323602944,generic,M,
1340214471113904128,generic,M,
1339612986105757696,generic,M,
1338302420192022528,tone_policing,M,
1351750280308781060,generic,M,
1346571544177217537,generic,M,
1341463466184298496,tone_policing,M,
1344481382974648320,generic,M,
1341388319519879170,racial_gaslighting,M,
1272613520161423360,racial_gaslighting,M,
1341294987510734848,racial_gaslighting,M,
1336241961397719040,generic,M,
1334612668112658432,defensiveness,M,
1337522096503549952,generic,M,
1334902480644268049,racial_gaslighting,M,
1334944547760173056,racial_gaslighting,M,
1349851684172931072,generic,M,
1334582294850326529,racial_gaslighting,M,
1341323995145113600,racial_gaslighting,M,
1336282093760950272,generic,M,
1345018621769093121,generic,M,
1335315477413949442,generic,M,
1341174126384467982,racial_gaslighting,M,
1334647323373125632,defensiveness,M,
1334906748495421443,racial_gaslighting,M,
1341258072669433856,racial_gaslighting,M,
1336434126279229441,generic,M,
1341417671976480770,white_centring,M,
1341445130801328130,racial_gaslighting,M,
1341390867018428417,racial_gaslighting,M,
1341279537460613120,generic,M,
1334859748097724419,racial_gaslighting,M,
1339831256075259904,generic,M,
1335006085334380544,tone_policing,M,
1334478228057018369,generic,M,
1341400975144333316,racial_gaslighting,M,
1337793035506241538,generic,M,
1347707698184216576,generic,M,
1336470425623138306,generic,M,
1334802295029166081,white_centring,A,G
1337014764757716993,generic,A,G
1334858835580702722,generic,A,G
1346079333161590784,generic,A,G
1351714135617236993,generic,A,G
1341216252140859395,generic,A,T
1341274346032119808,racial_gaslighting,A,G
1276180801412005888,generic,A,T
1334885325064216578,racial_gaslighting,A,G
1341396950688686080,racial_gaslighting,A,G
1334600390910722050,generic,A,G
1272859215154098177,generic,A,G
1341204890496937984,racial_gaslighting,A,G
1279152546683269123,racial_gaslighting,A,G
1279152546683269123,racial_gaslighting,A,G
1334413514446950400,generic,A,G
1334372772680585217,generic,A,G
1273626619152863233,racial_gaslighting,A,G
1334372118717472768,racial_gaslighting,A,G
1336029661260877825,generic,A,G
1334825565774368772,defensiveness,A,G
1272631697587286016,generic,A,T
1294417936325648384,generic,A,G
1335327789910695937,generic,A,G
1344711629150285824,generic,A,T
